Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDB15,10.895,Low Fat,0.228993134,Dairy,263.46,OUT010,1998,Medium,Tier 3,Grocery Store,527.31
FDC40,16,Regular,0.065431917,Dairy,76.2,OUT017,2007,Small,Tier 2,Supermarket Type1,1869.57
FDE53,10.895,Low Fat,0.026749991,Frozen Foods,106.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,2876.26
FDK24,9.195,Low Fat,0,Baking Goods,43.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,407.47
FDW31,11.35,Regular,0.043333912,Fruits and Vegetables,201.07,OUT018,2009,Medium,Tier 3,Supermarket Type2,2189.82
NCX29,10,Low Fat,0.089656812,Health and Hygiene,144.01,OUT017,2007,Small,Tier 2,Supermarket Type1,1603.91
NCM07,9.395,Low Fat,0.039954281,Others,82.49,OUT035,2004,Small,Tier 2,Supermarket Type1,2013.38
DRN36,15.2,Low Fat,0.087854925,Soft Drinks,95.98,OUT019,1985,Small,Tier 1,Grocery Store,95.88
FDQ37,20.75,Low Fat,0.149404057,Breakfast,192.85,OUT010,1998,Medium,Tier 3,Grocery Store,774.99
FDK43,9.8,Low Fat,0.0268952,Meat,128.4,OUT045,2002,Small,Tier 2,Supermarket Type1,2403.54
FDK28,5.695,Low Fat,0.065857092,Frozen Foods,258.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,4380.3
FDR43,18.2,Low Fat,0.161817014,Fruits and Vegetables,37.82,OUT045,2002,Small,Tier 2,Supermarket Type1,219.71
FDL48,19.35,Regular,0.082197959,Baking Goods,49.2,OUT013,1987,High,Tier 3,Supermarket Type1,729.05
DRL23,18.35,Low Fat,0.015335349,Hard Drinks,106.69,OUT045,2002,Small,Tier 2,Supermarket Type1,1393.52
NCX42,6.36,Low Fat,0.00599072,Household,163.65,OUT045,2002,Small,Tier 2,Supermarket Type1,5262.48
DRD37,9.8,Low Fat,0.013898123,Soft Drinks,46.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,372.85
FDZ47,20.7,Regular,0.078912473,Baking Goods,99.9,OUT027,1985,Medium,Tier 3,Supermarket Type3,3273.74
NCJ54,9.895,Low Fat,0.059776237,Household,231.76,OUT027,1985,Medium,Tier 3,Supermarket Type3,5344.38
FDL52,6.635,Regular,0,Frozen Foods,39.75,OUT013,1987,High,Tier 3,Supermarket Type1,303.6
FDC15,18.1,Low Fat,0.297883712,Dairy,156.73,OUT010,1998,Medium,Tier 3,Grocery Store,314.26
NCD19,8.93,Low Fat,0.022059594,Household,56.06,OUT010,1998,Medium,Tier 3,Grocery Store,276.31
FDD08,8.3,Low Fat,0.03532494,Fruits and Vegetables,38.95,OUT013,1987,High,Tier 3,Supermarket Type1,721.06
NCN18,8.895,Low Fat,0.124967595,Household,112.75,OUT045,2002,Small,Tier 2,Supermarket Type1,3467.49
FDY56,16.35,Regular,0.062411404,Fruits and Vegetables,225.91,OUT046,1997,Small,Tier 1,Supermarket Type1,5416.95
NCI29,8.6,Low Fat,0.032754431,Health and Hygiene,140.52,OUT018,2009,Medium,Tier 3,Supermarket Type2,283.63
NCE06,5.825,Low Fat,0.160178832,Household,160.29,OUT019,1985,Small,Tier 1,Grocery Store,323.58
FDC08,19,Regular,0.104035148,Fruits and Vegetables,227.77,OUT017,2007,Small,Tier 2,Supermarket Type1,5206.56
FDU52,7.56,Low Fat,0.06390019,Frozen Foods,157.26,OUT045,2002,Small,Tier 2,Supermarket Type1,2503.41
FDN16,12.6,Regular,0.062648111,Frozen Foods,104.9,OUT013,1987,High,Tier 3,Supermarket Type1,1960.78
NCM55,15.6,Low Fat,0.111685868,Others,184.79,OUT010,1998,Medium,Tier 3,Grocery Store,370.18
FDR49,8.71,Low Fat,0.233039817,Canned,49.54,OUT010,1998,Medium,Tier 3,Grocery Store,95.88
FDC15,18.1,Low Fat,0.17824575,Dairy,158.13,OUT049,1999,Medium,Tier 1,Supermarket Type1,3299.7
FDB53,13.35,Low Fat,0.140241213,Frozen Foods,150.24,OUT017,2007,Small,Tier 2,Supermarket Type1,2684.51
FDK44,16.6,Low Fat,0,Fruits and Vegetables,173.37,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.29
FDA16,6.695,Low Fat,0.033935576,Frozen Foods,221.95,OUT035,2004,Small,Tier 2,Supermarket Type1,2210.46
FDO19,17.7,Regular,0.016516275,Fruits and Vegetables,47.4,OUT027,1985,Medium,Tier 3,Supermarket Type3,2187.15
FDO04,16.6,Low Fat,0.026537206,Frozen Foods,57.26,OUT046,1997,Small,Tier 1,Supermarket Type1,1049.97
NCL19,15.35,Low Fat,0.015673267,Others,145.05,OUT035,2004,Small,Tier 2,Supermarket Type1,2719.79
FDA44,19.7,Low Fat,0.089083914,Fruits and Vegetables,54.59,OUT010,1998,Medium,Tier 3,Grocery Store,56.59
FDR60,14.3,Low Fat,0.131152799,Baking Goods,78.63,OUT017,2007,Small,Tier 2,Supermarket Type1,231.7
FDV37,13,Regular,0.083109455,Canned,195.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,5734.54
FDG53,10,Low Fat,0.045818773,Frozen Foods,138.72,OUT013,1987,High,Tier 3,Supermarket Type1,1398.18
DRG01,14.8,Low Fat,0.044869794,Soft Drinks,76.47,OUT035,2004,Small,Tier 2,Supermarket Type1,1531.34
FDB38,19.5,Regular,0,Canned,160.69,OUT019,1985,Small,Tier 1,Grocery Store,319.58
FDI27,8.71,Regular,0.04605781,Dairy,43.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,633.84
FDD29,12.15,Low Fat,0.030815427,Frozen Foods,252.07,OUT010,1998,Medium,Tier 3,Grocery Store,1014.68
NCR41,17.85,Low Fat,0.01806055,Health and Hygiene,97.01,OUT045,2002,Small,Tier 2,Supermarket Type1,2094.61
FDW44,9.5,Regular,0.035205866,Fruits and Vegetables,171.34,OUT049,1999,Medium,Tier 1,Supermarket Type1,2386.23
FDU21,11.8,Regular,0.076705948,Snack Foods,34.76,OUT035,2004,Small,Tier 2,Supermarket Type1,780.98
FDI14,14.1,Low Fat,0.089677773,Canned,139.85,OUT046,1997,Small,Tier 1,Supermarket Type1,1693.8
FDW50,13.1,Low Fat,0.132327406,Dairy,168.42,OUT019,1985,Small,Tier 1,Grocery Store,334.23
FDN39,19.35,Regular,0.065520388,Meat,168.38,OUT046,1997,Small,Tier 1,Supermarket Type1,1342.25
FDT31,19.75,Low Fat,0.012518707,Fruits and Vegetables,190.69,OUT017,2007,Small,Tier 2,Supermarket Type1,4916.27
FDJ14,10.3,Regular,0.050353695,Canned,78.7,OUT017,2007,Small,Tier 2,Supermarket Type1,1757.71
NCQ43,17.75,Low Fat,0.110762642,Others,108.59,OUT027,1985,Medium,Tier 3,Supermarket Type3,1637.87
FDZ22,9.395,Low Fat,0.045050674,Snack Foods,84.93,OUT027,1985,Medium,Tier 3,Supermarket Type3,1747.73
FDU38,10.8,Low Fat,0.083016832,Dairy,193.45,OUT017,2007,Small,Tier 2,Supermarket Type1,2876.26
FDS32,17.75,Regular,0,Fruits and Vegetables,139.98,OUT045,2002,Small,Tier 2,Supermarket Type1,1966.77
DRH13,8.575,Low Fat,0.023983258,Soft Drinks,106.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,958.75
DRF03,19.1,Low Fat,0.075836522,Dairy,40.21,OUT010,1998,Medium,Tier 3,Grocery Store,81.23
FDJ20,20.7,Regular,0.100330684,Fruits and Vegetables,123.44,OUT049,1999,Medium,Tier 1,Supermarket Type1,1238.39
FDE22,9.695,Low Fat,0.051778173,Snack Foods,157.89,OUT019,1985,Small,Tier 1,Grocery Store,319.58
FDX22,6.785,Regular,0.022970468,Snack Foods,211.09,OUT035,2004,Small,Tier 2,Supermarket Type1,4418.25
DRM11,6.57,Low Fat,0.066014596,Hard Drinks,259.73,OUT013,1987,High,Tier 3,Supermarket Type1,2863.61
FDL58,5.78,Regular,0.07429945,Snack Foods,264.96,OUT045,2002,Small,Tier 2,Supermarket Type1,1845.6
FDL25,6.92,Regular,0.131128467,Breakfast,93.18,OUT049,1999,Medium,Tier 1,Supermarket Type1,1561.97
FDD40,20.25,Regular,0.014816356,Dairy,194.12,OUT049,1999,Medium,Tier 1,Supermarket Type1,3848.32
FDT08,13.65,Low Fat,0.049318315,Fruits and Vegetables,149.01,OUT045,2002,Small,Tier 2,Supermarket Type1,2097.27
FDO22,13.5,Regular,0.017960492,Snack Foods,81.6,OUT017,2007,Small,Tier 2,Supermarket Type1,639.17
NCM41,16.5,Low Fat,0.035801238,Health and Hygiene,92.61,OUT018,2009,Medium,Tier 3,Supermarket Type2,559.27
FDJ21,16.7,Regular,0.038606365,Snack Foods,146.51,OUT045,2002,Small,Tier 2,Supermarket Type1,2770.39
FDC53,8.68,Low Fat,0.008871687,Frozen Foods,99.74,OUT018,2009,Medium,Tier 3,Supermarket Type2,295.62
DRK35,8.365,Low Fat,0.125793938,Hard Drinks,36.25,OUT019,1985,Small,Tier 1,Grocery Store,37.95
FDQ09,7.235,Low Fat,0.058369013,Snack Foods,115.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1267.02
DRB48,16.75,Regular,0,Soft Drinks,39.38,OUT046,1997,Small,Tier 1,Supermarket Type1,353.54
DRE25,15.35,Low Fat,0.073269336,Soft Drinks,92.11,OUT035,2004,Small,Tier 2,Supermarket Type1,1118.54
FDL08,10.8,Low Fat,0.049677651,Fruits and Vegetables,245.91,OUT013,1987,High,Tier 3,Supermarket Type1,4655.27
NCV42,6.26,Low Fat,0.031470832,Household,110.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,1547.32
FDW03,5.63,Regular,0.024579432,Meat,105.33,OUT049,1999,Medium,Tier 1,Supermarket Type1,1045.31
FDL25,6.92,Regular,0.131665479,Breakfast,91.88,OUT017,2007,Small,Tier 2,Supermarket Type1,275.64
FDC17,12.15,Low Fat,0.015523707,Frozen Foods,212.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,2735.11
FDK44,16.6,Low Fat,0.122475364,Fruits and Vegetables,175.57,OUT045,2002,Small,Tier 2,Supermarket Type1,347.55
FDE34,9.195,Low Fat,0.107891398,Snack Foods,182.76,OUT046,1997,Small,Tier 1,Supermarket Type1,3817.03
FDP10,19,Low Fat,0.128065918,Snack Foods,104.36,OUT035,2004,Small,Tier 2,Supermarket Type1,1905.52
FDZ22,9.395,Low Fat,0.045361705,Snack Foods,83.83,OUT045,2002,Small,Tier 2,Supermarket Type1,665.8
NCK19,9.8,Low Fat,0.090390357,Others,192.15,OUT013,1987,High,Tier 3,Supermarket Type1,2324.97
FDO44,12.6,Low Fat,0.087029712,Fruits and Vegetables,109.22,OUT027,1985,Medium,Tier 3,Supermarket Type3,3205.16
NCU41,18.85,Low Fat,0.052054819,Health and Hygiene,189.18,OUT046,1997,Small,Tier 1,Supermarket Type1,2101.93
NCF31,9.13,Low Fat,0.051952573,Household,152.3,OUT045,2002,Small,Tier 2,Supermarket Type1,1821.63
FDG14,9,Regular,0.050786366,Canned,152.2,OUT017,2007,Small,Tier 2,Supermarket Type1,3643.26
NCH30,17.1,Low Fat,0.067141355,Household,114.59,OUT035,2004,Small,Tier 2,Supermarket Type1,2942.84
FDR36,6.715,Regular,0.121485195,Baking Goods,40.25,OUT013,1987,High,Tier 3,Supermarket Type1,587.24
NCJ30,5.82,Low Fat,0.080640478,Household,167.78,OUT046,1997,Small,Tier 1,Supermarket Type1,2886.24
FDR08,18.7,Low Fat,0.037699254,Fruits and Vegetables,110.29,OUT045,2002,Small,Tier 2,Supermarket Type1,2223.77
FDU04,7.93,Low Fat,0,Frozen Foods,123.24,OUT018,2009,Medium,Tier 3,Supermarket Type2,487.37
NCQ50,18.75,Low Fat,0.034501405,Household,211.72,OUT017,2007,Small,Tier 2,Supermarket Type1,5770.49
FDL46,20.35,Low Fat,0.053795154,Snack Foods,117.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,1414.16
DRK37,5,Low Fat,0.044004675,Soft Drinks,188.85,OUT046,1997,Small,Tier 1,Supermarket Type1,5502.84
FDK48,7.445,Low Fat,0,Baking Goods,76.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2181.83
FDV58,20.85,Low Fat,0.121250374,Snack Foods,193.95,OUT046,1997,Small,Tier 1,Supermarket Type1,1565.96
FDN27,20.85,Low Fat,0,Meat,115.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,1054.63
FDZ52,19.2,Low Fat,0.100230114,Frozen Foods,112.99,OUT049,1999,Medium,Tier 1,Supermarket Type1,1667.83
NCF42,17.35,Low Fat,0.167383061,Household,175.67,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.34
FDQ48,14.3,Regular,0.034404732,Baking Goods,98.17,OUT035,2004,Small,Tier 2,Supermarket Type1,489.36
FDW49,19.5,Low Fat,0.082719632,Canned,179.3,OUT045,2002,Small,Tier 2,Supermarket Type1,2865.6
FDR58,6.675,Low Fat,0.041913535,Snack Foods,90.75,OUT035,2004,Small,Tier 2,Supermarket Type1,1665.83
NCE07,8.18,Low Fat,0.0132043,Household,143.82,OUT017,2007,Small,Tier 2,Supermarket Type1,2694.49
FDK14,6.98,Low Fat,0.041105789,Canned,83.49,OUT046,1997,Small,Tier 1,Supermarket Type1,1555.97
FDC11,20.5,Low Fat,0.141106202,Starchy Foods,87.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,3836.34
FDL22,16.85,Low Fat,0.036463975,Snack Foods,90.75,OUT045,2002,Small,Tier 2,Supermarket Type1,543.29
NCQ41,14.8,Low Fat,0.01946418,Health and Hygiene,196.38,OUT013,1987,High,Tier 3,Supermarket Type1,1950.79
FDX46,12.3,Regular,0,Snack Foods,57.36,OUT013,1987,High,Tier 3,Supermarket Type1,177.77
FDC35,7.435,Low Fat,0.123086812,Starchy Foods,206.96,OUT045,2002,Small,Tier 2,Supermarket Type1,1035.32
FDH45,15.1,Regular,0.105646853,Fruits and Vegetables,42.88,OUT035,2004,Small,Tier 2,Supermarket Type1,949.43
FDX33,9.195,Regular,0.118149377,Snack Foods,160.56,OUT017,2007,Small,Tier 2,Supermarket Type1,1283.66
DRJ35,10.1,Low Fat,0.046545786,Hard Drinks,59.99,OUT013,1987,High,Tier 3,Supermarket Type1,484.7
FDC40,16,Regular,0.065009745,Dairy,79.6,OUT013,1987,High,Tier 3,Supermarket Type1,934.78
FDO19,17.7,Regular,0.016630303,Fruits and Vegetables,48.1,OUT045,2002,Small,Tier 2,Supermarket Type1,534.64
FDP13,8.1,Regular,0.134532392,Canned,39.45,OUT049,1999,Medium,Tier 1,Supermarket Type1,878.86
FDP24,20.6,Low Fat,0.083133128,Baking Goods,120.18,OUT049,1999,Medium,Tier 1,Supermarket Type1,1332.93
NCQ42,20.35,Low Fat,0.039428167,Household,127.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,3560.7
FDY59,8.195,Low Fat,0,Baking Goods,93.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,647.82
FDU14,17.75,Low Fat,0.034823127,Dairy,248.68,OUT045,2002,Small,Tier 2,Supermarket Type1,4993.5
FDB21,7.475,Low Fat,0.148492521,Fruits and Vegetables,240.69,OUT035,2004,Small,Tier 2,Supermarket Type1,1691.8
FDT32,19,Regular,0.065901299,Fruits and Vegetables,188.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,1695.79
FDK20,12.6,Regular,0.041622264,Fruits and Vegetables,124.01,OUT049,1999,Medium,Tier 1,Supermarket Type1,4042.74
FDX09,9,Low Fat,0.064933297,Snack Foods,174.84,OUT027,1985,Medium,Tier 3,Supermarket Type3,4763.8
FDM01,7.895,Regular,0.0945493,Breakfast,102.63,OUT035,2004,Small,Tier 2,Supermarket Type1,1640.53
DRI37,15.85,Low Fat,0.107076832,Soft Drinks,58.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,1288.99
FDL20,17.1,Low Fat,0.128674983,Fruits and Vegetables,112.39,OUT045,2002,Small,Tier 2,Supermarket Type1,2334.96
FDU13,8.355,Low Fat,0.188322664,Canned,148.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,2207.13
FDE05,10.895,Regular,0,Frozen Foods,145.21,OUT019,1985,Small,Tier 1,Grocery Store,437.43
FDE58,18.5,Low Fat,0.052025392,Snack Foods,118.41,OUT013,1987,High,Tier 3,Supermarket Type1,2370.25
FDT32,19,Regular,0.065316099,Fruits and Vegetables,189.92,OUT027,1985,Medium,Tier 3,Supermarket Type3,5087.38
FDZ01,8.975,Regular,0.01516265,Canned,101.9,OUT010,1998,Medium,Tier 3,Grocery Store,103.2
FDM08,10.1,Regular,0.053584207,Fruits and Vegetables,224.41,OUT046,1997,Small,Tier 1,Supermarket Type1,4697.88
FDS58,9.285,Regular,0.020989132,Snack Foods,158.66,OUT013,1987,High,Tier 3,Supermarket Type1,2406.87
FDZ26,11.6,Regular,0.144017405,Dairy,238.32,OUT046,1997,Small,Tier 1,Supermarket Type1,5736.53
FDC46,17.7,Low Fat,0.115978122,Snack Foods,183.43,OUT027,1985,Medium,Tier 3,Supermarket Type3,7192.64
FDY51,12.5,Low Fat,0.081465335,Meat,220.78,OUT018,2009,Medium,Tier 3,Supermarket Type2,6611.39
FDL34,16,Low Fat,0.041177505,Snack Foods,142.35,OUT017,2007,Small,Tier 2,Supermarket Type1,3246.44
DRG39,14.15,Low Fat,0.042352822,Dairy,51.7,OUT018,2009,Medium,Tier 3,Supermarket Type2,1262.36
NCG43,20.2,Low Fat,0.074541867,Household,94.15,OUT018,2009,Medium,Tier 3,Supermarket Type2,1758.38
FDT01,13.65,Regular,0.18454121,Canned,211.59,OUT045,2002,Small,Tier 2,Supermarket Type1,4672.58
NCR38,17.25,Low Fat,0.114160573,Household,253.17,OUT017,2007,Small,Tier 2,Supermarket Type1,3775.09
DRF01,5.655,Low Fat,0.175352413,Soft Drinks,147.41,OUT049,1999,Medium,Tier 1,Supermarket Type1,2478.77
FDF53,20.75,Regular,0.083590755,Frozen Foods,182.23,OUT035,2004,Small,Tier 2,Supermarket Type1,3067.34
FDS45,5.175,Regular,0.029471408,Snack Foods,105.46,OUT013,1987,High,Tier 3,Supermarket Type1,3281.73
FDR20,20,Regular,0.028282832,Fruits and Vegetables,46.27,OUT017,2007,Small,Tier 2,Supermarket Type1,1086.59
FDY07,11.8,Low Fat,0,Fruits and Vegetables,46.54,OUT010,1998,Medium,Tier 3,Grocery Store,229.7
FDD38,16.75,Regular,0.008208342,Canned,102.87,OUT045,2002,Small,Tier 2,Supermarket Type1,1528.01
DRF15,18.35,Low Fat,0.03334929,Dairy,155.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,1990.74
FDH32,12.8,Low Fat,0.076060037,Fruits and Vegetables,95.14,OUT046,1997,Small,Tier 1,Supermarket Type1,868.87
NCJ42,19.75,Low Fat,0.014301326,Household,103.03,OUT046,1997,Small,Tier 1,Supermarket Type1,1230.4
FDB56,8.75,Regular,0.074931201,Fruits and Vegetables,187.66,OUT018,2009,Medium,Tier 3,Supermarket Type2,938.78
FDD03,13.3,Low Fat,0.080131363,Dairy,234.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,4194.54
NCL18,18.85,Low Fat,0.167444431,Household,194.61,OUT013,1987,High,Tier 3,Supermarket Type1,1166.48
FDW22,9.695,Regular,0.03033748,Snack Foods,222.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,5764.5
FDE32,20.7,Low Fat,0.04874969,Fruits and Vegetables,37.55,OUT035,2004,Small,Tier 2,Supermarket Type1,113.85
FDA34,11.5,Low Fat,0.014788594,Starchy Foods,174.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,7443.64
FDJ08,11.1,Low Fat,0.111298111,Fruits and Vegetables,191.78,OUT017,2007,Small,Tier 2,Supermarket Type1,3057.35
FDG38,8.975,Regular,0.05268526,Canned,83.32,OUT013,1987,High,Tier 3,Supermarket Type1,3579.34
FDD29,12.15,Low Fat,0.018485511,Frozen Foods,253.17,OUT018,2009,Medium,Tier 3,Supermarket Type2,1522.02
NCE31,7.67,Low Fat,0.184689756,Household,35.42,OUT013,1987,High,Tier 3,Supermarket Type1,450.08
FDS19,13.8,Regular,0.064153845,Fruits and Vegetables,76.9,OUT013,1987,High,Tier 3,Supermarket Type1,607.21
FDU11,4.785,Low Fat,0.092516598,Breads,120.11,OUT013,1987,High,Tier 3,Supermarket Type1,1325.61
FDL02,20,Regular,0.104245198,Canned,105.36,OUT049,1999,Medium,Tier 1,Supermarket Type1,1270.35
FDO51,6.785,Regular,0.041779181,Meat,43.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,1107.89
DRK23,8.395,Low Fat,0.07226985,Hard Drinks,254.1,OUT018,2009,Medium,Tier 3,Supermarket Type2,3542.06
FDO27,6.175,Regular,0.179806961,Meat,95.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,1534
FDB16,8.21,Low Fat,0.044995631,Dairy,89.22,OUT049,1999,Medium,Tier 1,Supermarket Type1,1308.3
FDA44,19.7,Low Fat,0.053523765,Fruits and Vegetables,55.39,OUT017,2007,Small,Tier 2,Supermarket Type1,1471.42
NCB18,19.6,Low Fat,0.041459372,Household,89.65,OUT018,2009,Medium,Tier 3,Supermarket Type2,1239.72
NCL53,7.5,Low Fat,0.036234918,Health and Hygiene,175.3,OUT046,1997,Small,Tier 1,Supermarket Type1,3896.26
FDR16,5.845,Regular,0.105445801,Frozen Foods,214.42,OUT018,2009,Medium,Tier 3,Supermarket Type2,1496.05
NCQ05,11.395,Low Fat,0,Health and Hygiene,151.67,OUT013,1987,High,Tier 3,Supermarket Type1,3460.83
FDF44,7.17,Regular,0.05997133,Fruits and Vegetables,132.2,OUT018,2009,Medium,Tier 3,Supermarket Type2,2870.93
FDU50,5.75,Regular,0.075595405,Dairy,114.72,OUT017,2007,Small,Tier 2,Supermarket Type1,1259.69
FDG20,15.5,Regular,0.210375806,Fruits and Vegetables,178.2,OUT010,1998,Medium,Tier 3,Grocery Store,177.1
FDD58,7.76,Low Fat,0.059341019,Snack Foods,99.77,OUT035,2004,Small,Tier 2,Supermarket Type1,798.96
FDT01,13.65,Regular,0.18520944,Canned,212.99,OUT017,2007,Small,Tier 2,Supermarket Type1,3185.85
FDK15,10.8,Low Fat,0.098566832,Meat,98.3,OUT049,1999,Medium,Tier 1,Supermarket Type1,1488.06
FDJ08,11.1,Low Fat,0.11084417,Fruits and Vegetables,189.28,OUT049,1999,Medium,Tier 1,Supermarket Type1,5159.28
FDS10,19.2,Low Fat,0.0350152,Snack Foods,182.03,OUT027,1985,Medium,Tier 3,Supermarket Type3,5954.25
FDJ55,12.8,Regular,0.023567538,Meat,226.84,OUT049,1999,Medium,Tier 1,Supermarket Type1,4500.81
FDU32,8.785,Low Fat,0,Fruits and Vegetables,123.04,OUT010,1998,Medium,Tier 3,Grocery Store,121.84
FDG09,20.6,Regular,0.04792722,Fruits and Vegetables,185.96,OUT035,2004,Small,Tier 2,Supermarket Type1,4318.38
FDE39,7.89,Low Fat,0.036207786,Dairy,121.08,OUT045,2002,Small,Tier 2,Supermarket Type1,3456.17
FDU56,16.85,Low Fat,0.044377096,Fruits and Vegetables,185.83,OUT013,1987,High,Tier 3,Supermarket Type1,1659.84
NCH55,16.35,Low Fat,0.034742632,Household,127.4,OUT045,2002,Small,Tier 2,Supermarket Type1,759.01
FDX33,9.195,Regular,0.116915909,Snack Foods,159.46,OUT027,1985,Medium,Tier 3,Supermarket Type3,4974.19
FDR24,17.35,Regular,0.062979148,Baking Goods,87.98,OUT045,2002,Small,Tier 2,Supermarket Type1,1707.78
FDC33,8.96,Regular,0.068604503,Fruits and Vegetables,197.38,OUT027,1985,Medium,Tier 3,Supermarket Type3,7488.92
NCV54,11.1,Low Fat,0.03294861,Household,116.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,2488.76
NCQ02,12.6,Low Fat,0.007450258,Household,186.76,OUT013,1987,High,Tier 3,Supermarket Type1,2816.33
NCU17,5.32,Low Fat,0.093027718,Health and Hygiene,101.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,2954.15
NCZ06,19.6,Low Fat,0.164864915,Household,255.27,OUT019,1985,Small,Tier 1,Grocery Store,761.01
FDV37,13,Regular,0.083498083,Canned,199.44,OUT035,2004,Small,Tier 2,Supermarket Type1,593.23
DRH25,18.7,Low Fat,0.014522363,Soft Drinks,50.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,1298.31
NCI43,19.85,Low Fat,0.025963795,Household,46.34,OUT035,2004,Small,Tier 2,Supermarket Type1,1150.5
NCQ53,17.6,Low Fat,0.019012262,Health and Hygiene,237.16,OUT017,2007,Small,Tier 2,Supermarket Type1,3072.67
NCT18,14.6,Low Fat,0.059393919,Household,181.8,OUT035,2004,Small,Tier 2,Supermarket Type1,3259.76
FDF14,7.55,Low Fat,0.027212058,Canned,152.73,OUT049,1999,Medium,Tier 1,Supermarket Type1,2756.41
FDM14,13.8,Low Fat,0.013263968,Canned,106.93,OUT046,1997,Small,Tier 1,Supermarket Type1,2930.19
FDX57,17.25,Regular,0.079113947,Snack Foods,99.21,OUT010,1998,Medium,Tier 3,Grocery Store,97.21
NCV05,10.1,Low Fat,0.03020851,Health and Hygiene,153.17,OUT046,1997,Small,Tier 1,Supermarket Type1,1544.66
FDX39,14.3,Regular,0.049634817,Meat,212.56,OUT013,1987,High,Tier 3,Supermarket Type1,3165.88
FDA23,9.8,Low Fat,0.047187038,Baking Goods,100.6,OUT046,1997,Small,Tier 1,Supermarket Type1,1619.23
NCV06,11.3,Low Fat,0.066681333,Household,194.45,OUT046,1997,Small,Tier 1,Supermarket Type1,387.5
NCE31,7.67,Low Fat,0.185218446,Household,36.32,OUT045,2002,Small,Tier 2,Supermarket Type1,415.46
DRI39,13.8,Low Fat,0.162462044,Dairy,55.89,OUT010,1998,Medium,Tier 3,Grocery Store,226.37
FDH21,10.395,Low Fat,0.031273559,Seafood,160.06,OUT049,1999,Medium,Tier 1,Supermarket Type1,1267.68
FDR26,20.7,Low Fat,0.042836778,Dairy,175.8,OUT046,1997,Small,Tier 1,Supermarket Type1,1593.93
FDA14,16.1,Low Fat,0.114127418,Dairy,147.18,OUT019,1985,Small,Tier 1,Grocery Store,585.9
FDG21,17.35,Regular,0.146895866,Seafood,149.6,OUT018,2009,Medium,Tier 3,Supermarket Type2,3745.13
NCQ38,16.35,Low Fat,0.013420879,Others,104.83,OUT018,2009,Medium,Tier 3,Supermarket Type2,1810.98
FDN20,19.35,Low Fat,0.026181893,Fruits and Vegetables,167.05,OUT046,1997,Small,Tier 1,Supermarket Type1,2358.26
NCN29,15.2,Low Fat,0.012184999,Health and Hygiene,50.3,OUT017,2007,Small,Tier 2,Supermarket Type1,145.81
FDI28,14.3,Low Fat,0.026428924,Frozen Foods,78.23,OUT018,2009,Medium,Tier 3,Supermarket Type2,554.61
FDA03,18.5,Regular,0.045243613,Dairy,146.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,3499.44
FDZ28,20,Regular,0,Frozen Foods,127.37,OUT046,1997,Small,Tier 1,Supermarket Type1,1780.35
FDO52,11.6,Regular,0.076790922,Frozen Foods,172.11,OUT027,1985,Medium,Tier 3,Supermarket Type3,2566.66
FDU10,10.1,Regular,0.045950475,Snack Foods,38.28,OUT017,2007,Small,Tier 2,Supermarket Type1,1230.4
FDP13,8.1,Regular,0.133673087,Canned,41.55,OUT027,1985,Medium,Tier 3,Supermarket Type3,918.8
FDV02,16.75,Low Fat,0.060252433,Dairy,170.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,3079.99
